variant,run,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_selected,elapsed_sec
MSHHO_I2,15,0.4656869798314688,2.1465044541584417,1.786678404172723,0.33775354328073215,2.557447158922186,1.8706620701425654,5,5.573591232299805
MSHHO_I2,16,0.5231724779235012,2.02775075921995,1.6284534875496672,0.38063351286763814,2.473265269032469,1.6626039950592164,6,5.314568996429443
MSHHO_I2,17,0.4785264153472828,2.1205575944811628,1.7640102751160893,0.3308625864518695,2.5707183892792873,1.8623313432250423,8,6.344740152359009
MSHHO_I2,18,0.4212927282684704,2.233898235848714,1.854882123763615,0.31800615829139367,2.595297056086873,1.9335018682938647,2,4.589156866073608
MSHHO_I2,19,0.7073319268733459,1.5886257199590497,1.1894268781356725,0.2511220685409338,2.7195832889030926,2.0086006590549474,12,6.48664116859436
MSHHO_I2,20,0.4720027352285662,2.13378054835778,1.7688826526243993,0.3327630145465512,2.5670652239437706,1.8488392517995444,5,5.486749172210693
MSHHO_I2,21,0.44888558373607534,2.179991504797609,1.7778014900813897,0.3248177631464867,2.5823039026978543,1.8611722017182564,8,5.590378999710083
MSHHO_I2,22,0.41023843635649304,2.255132936276146,1.8401358301722799,0.29886336448706274,2.631468512450466,1.8841132770437001,1,4.217966079711914
MSHHO_I2,23,0.5288726530433631,2.015594071859313,1.5790732997346362,0.36040153195562197,2.513336017725057,1.711917652740436,7,6.06147313117981
MSHHO_I2,24,0.4342550533076246,2.2087382752405675,1.8259592756659992,0.31928050770550565,2.59287118248762,1.927590858868804,2,5.279622316360474
MSHHO_I2,25,0.5162016531478731,2.0425190013275762,1.6673207578194276,0.2712399629259393,2.6828050934712753,1.7742783738774381,5,6.027387857437134
MSHHO_I2,26,0.4660637370544337,2.1457475442222376,1.7291216800583675,0.36066479080891256,2.5128187196938137,1.7342184374421554,3,5.020907878875732
MSHHO_I2,27,0.5368316662432069,1.9984962844979195,1.687111657070164,0.2501338482201114,2.721377080200114,1.765128014229192,3,5.10342001914978
MSHHO_I2,28,0.4428904172644681,2.191816690724329,1.8060725631888639,0.3184489005892276,2.5944545013162226,1.910101607566416,3,4.827497959136963
MSHHO_I2,29,0.41023843635649304,2.255132936276146,1.8401358301722799,0.29886336448706274,2.631468512450466,1.8841132770437001,1,4.415048837661743
MSHHO_I3,0,0.4460846193384904,2.185524239684884,1.7957111492285585,0.3283412173024831,2.575557182814607,1.831459912670882,1,3.9376540184020996
MSHHO_I3,1,0.6596966641595804,1.7130380852321203,1.3372763009195732,0.08675854978426167,3.003237340584392,2.0079304964489686,6,5.5155110359191895
MSHHO_I3,2,0.44112088082568035,2.195294843588798,1.7904523577530198,0.3313154571939336,2.5698483137385693,1.8702024529722254,1,4.209979772567749
MSHHO_I3,3,0.5179708832639456,2.0387808778072745,1.63839005904671,0.4080690645154422,2.4178667690949034,1.6285006280323175,2,4.70682692527771
MSHHO_I3,4,0.44112088082568035,2.195294843588798,1.7904523577530198,0.3313154571939336,2.5698483137385693,1.8702024529722254,1,4.25157904624939
